"cve_id","product","id","flag"
"CVE-2013-0853","ffmpeg/ffmpeg","be818df547c3b0ae4fadb50fd210139a8636706a","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_WAVPACK_DECODER))"
"CVE-2013-0854","ffmpeg/ffmpeg","1f41cffe1e3e79620f587545bdfcbd7e6e68ed29","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_SP5X_DECODER)) | (defined(CONFIG_THP_DECODER)) | (defined(CONFIG_AMV_DECODER)) | (defined(CONFIG_JPEGLS_DECODER)) | (defined(CONFIG_MXPEG_DECODER)) | (defined(CONFIG_MJPEGB_DECODER)) | (defined(CONFIG_MJPEG_DECODER)))"
"CVE-2013-0855","ffmpeg/ffmpeg","3920d1387834e2bc334aff9f518f4beb24e470bd","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_ALAC_DECODER))"
"CVE-2013-0856","ffmpeg/ffmpeg","fd4f4923cce6a2cbf4f48640b4ac706e614a1594","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_ALAC_DECODER))"
"CVE-2013-0857","ffmpeg/ffmpeg","2fbb37b51bbea891392ad357baf8f3dff00bac05","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_IFF_BYTERUN1_DECODER)) | (defined(CONFIG_IFF_DEMUXER)) | (defined(CONFIG_IFF_ILBM_DECODER)))"
"CVE-2013-0859","ffmpeg/ffmpeg","6d1c5ea04af3e345232aa70c944de961061dab2d","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_TIFF_DECODER))"
"CVE-2013-0860","ffmpeg/ffmpeg","3e196e4def03c7a91423803402f84d638d316c33","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_ERROR_RESILIENCE)) | (defined(CONFIG_MPEGVIDEO_DECODER)))"
"CVE-2013-0860","ffmpeg/ffmpeg","68a0477bc0af026db971ddba22541029a9e8715b","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_ERROR_RESILIENCE)) | (defined(CONFIG_MPEGVIDEO_DECODER)))"
"CVE-2013-0861","ffmpeg/ffmpeg","4cd1dad91ae97fe1f0dd534c3f5566787566f137","defined(CONFIG_AVCODEC)"
"CVE-2013-0861","ffmpeg/ffmpeg","43c6b45a53a186a187f7266e4d6bd3c2620519f1","defined(CONFIG_AVCODEC)"
"CVE-2013-0862","ffmpeg/ffmpeg","f4fb841ad13bab66d4fb0c7ff2a94770df7815d8","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_SANM_DECODER))"
"CVE-2013-0863","ffmpeg/ffmpeg","89e16e675d3cbe76cf4581f98bf4ac300cab0286","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_SANM_DECODER))"
"CVE-2013-0863","ffmpeg/ffmpeg","62c9beda0c189db5cb61fa772057e3af9521f293","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_SANM_DECODER))"
"CVE-2013-0864","ffmpeg/ffmpeg","9547034f9120187e23ad76424dd4d70247e62212","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_GIF_DECODER)) | (defined(CONFIG_GIF_DEMUXER)))"
"CVE-2013-0865","ffmpeg/ffmpeg","f3d16706060ab6ae6dc78f15359fab3fd87c9495","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_VQA_DECODER))"
"CVE-2013-0865","ffmpeg/ffmpeg","08e2c7a45f82b897a285548c257972eb1ad352c5","(defined(CONFIG_AVCODEC)) & (defined(CONFIG_VQA_DECODER))"
"CVE-2013-0866","ffmpeg/ffmpeg","47e462eecc0a47ad40f59376199f93f227e21d13","(defined(CONFIG_AVCODEC)) & ((defined(CONFIG_AAC_DECODER)) | (defined(CONFIG_AAC_DEMUXER)))"
