feature,weight
CONFIG_CAN_EMS_USB,1
CONFIG_INFINIBAND_RTRS_CLIENT,1
CONFIG_INFINIBAND_RTRS,1
CONFIG_I2C_ISMT,1
CONFIG_SND_CTL_FAST_LOOKUP,2
CONFIG_RPMSG_VIRTIO,2
CONFIG_PXA3XX_GCU,1
CONFIG_EFI_CAPSULE_LOADER,1
CONFIG_SLIP,2
CONFIG_SLHC,1
CONFIG_USB_MON,1
CONFIG_WILC1000,4
CONFIG_WLAN_VENDOR_MICROCHIP,4
CONFIG_SMB_SERVER,5
CONFIG_IR_ENE,1
CONFIG_SENSORS_XGENE,1
CONFIG_HWMON,1
CONFIG_USB_DWC3_QCOM,2
CONFIG_USB_DWC3,2
CONFIG_QCOM_AOSS_QMP,1
CONFIG_MODULE_DECOMPRESS,1
CONFIG_PHY_TEGRA_XUSB,1
CONFIG_SCSI_UFS_MEDIATEK,1
CONFIG_SCSI_UFSHCD,1
CONFIG_BT_HCIUART_QCA,1
CONFIG_DRM_MALI_DISPLAY,1
CONFIG_CRYPTO_USER_API,1
CONFIG_NET_SCH_QFQ,1
CONFIG_CHARGER_BQ24190,1
CONFIG_POWER_SUPPLY,1
CONFIG_MCTP,1
CONFIG_VMXNET3,2
CONFIG_NFC_NCI_SPI,1
CONFIG_USB_LAN78XX,1
CONFIG_N_GSM,1
